sno,Speed,Impact(m/s^2),Angle(°),Type
1,11.05,29.94,925.2,Forehand
2,4.93,30.84,828.52,Forehand
3,2.14,13.01,25.24,Forehand
4,5.47,19.11,87.16,Forehand
5,5.42,11.92,9.13,Forehand
6,5.77,13.5,18.08,Forehand
7,2.13,11.06,15.45,Forehand
8,5.99,25.16,271.92,Forehand
9,2.98,21.54,52.04,Forehand
10,12.85,20.46,42.15,Forehand
11,1.42,15.16,30.58,Forehand
12,9.04,19.81,44.08,Forehand
13,17.78,27.06,308.12,Forehand
14,1.49,27.37,298.65,Forehand
15,6.42,13.97,24.22,Forehand
16,4.56,13.41,28.05,Forehand
17,6.59,14.39,21.74,Forehand
18,2.23,11.1,39.79,Forehand
19,0.29,12.09,20.43,Forehand
20,0.64,11.47,11.1,Forehand
21,8.81,28.23,371,Forehand
22,3.34,21.05,35.36,Forehand
23,2.93,22.59,63.07,Forehand
24,1.85,21.69,75.13,Forehand
25,1.88,20.07,37.63,Forehand
26,3.37,19.03,43.5,Forehand
27,0.1,15.44,30.42,Forehand
28,7.04,10.34,19.19,Forehand
29,11.96,11.9,50.81,Forehand
30,11.44,30.68,836.44,Forehand
31,1.81,10.77,24.74,Forehand
32,1.64,11.65,20.27,Forehand
33,2.53,12.44,27.98,Forehand
34,1.95,11.01,28.71,Forehand
35,10.77,17.99,89.26,Forehand
36,5.47,20.33,87.9,Forehand
37,2.85,14.64,51.95,Forehand
38,4.76,14.85,32.67,Forehand
39,3.25,16.64,20.09,Forehand
40,7.26,20.82,41.49,Forehand
41,1.3,19.42,47.06,Forehand
42,0.3,16.05,21.49,Forehand
43,0.88,17.16,24.03,Forehand
44,0.19,15.73,19.55,Forehand
45,0.17,27.97,154.17,Forehand
46,13.48,30.8,407.05,Forehand
47,8.91,25.94,60.74,Forehand
48,10.89,25.01,53.87,Forehand
49,8.18,26.87,690.5,Forehand
50,5.17,20.89,50.71,Forehand
51,4.96,19.28,47.06,Forehand
52,5.24,19.4,38.2,Forehand
53,9.1,23.12,91.91,Forehand
54,7.21,23.23,33.03,Forehand
55,2.38,21.69,22.08,Forehand
56,3.36,22.95,34.69,Forehand
57,1.01,22.52,44.51,Forehand
58,3.14,24.36,22.6,Forehand
59,2.03,23.88,113.06,Forehand
60,2.33,24.14,27.96,Forehand
